name,parent_name,desc,rank
gi-I-627KD,gi-I-BMH4R,Polygonaceae Juss.,family
gi-I-53NBP,gi-I-7QR9,"Sylvisorex isabellae Heim de Balsac, 1968",species
gi-I-7QR9,gi-I-626TY,"Sylvisorex Thomas, 1904",genus
gi-I-626TY,gi-I-626YH,"Crocidurinae Milne-Edwards, 1872",subfamily
gi-I-626YH,gi-I-B6L7N,"Soricidae G. Fischer, 1814",family
gi-I-B6L7N,gi-I-LG,"Soricomorpha Gregory, 1910",order
gi-I-6DYRB,gi-I-62QNG,"Egretta garzetta (Linnaeus, 1766)",species
gi-I-62QNG,gi-I-J6C,"Egretta T. Forster, 1817",genus
gi-I-J6C,gi-I-6PB,"Ardeinae Leach, 1820",subfamily
gi-I-6PB,gi-I-3RZ,"Ardeidae Leach, 1820",family
gi-I-3RZ,gi-I-V2,Pelecaniformes,order
gi-I-B6NHX,gi-I-B6LCL,"Zygoptera Selys, 1854",suborder
gi-I-B6LCL,gi-I-H6,"Odonata Fabricius, 1793",order
gi-I-H6,gi-I-RT,Insecta,class
gi-I-RT,gi-I-N,Arthropoda,phylum
gi-I-4Q2XW,gi-I-64365,"Pteropus admiralitatum Thomas, 1894",species
gi-I-64365,gi-I-7NM9D,"Pteropus Brisson, 1762",genus
gi-I-7NM9D,gi-I-K8P,"Pteropodini Gray, 1821",tribe
gi-I-K8P,gi-I-FDD,"Pteropodinae Gray, 1821",subfamily
gi-I-FDD,gi-I-4FY,"Pteropodidae Gray, 1821",family
gi-I-5H69V,gi-I-6GPX5,Erigeron uniflorus subsp. uniflorus,subspecies
gi-I-6GPX5,gi-I-633LL,Erigeron uniflorus L.,species
gi-I-633LL,gi-I-J6T,Erigeron L.,genus
gi-I-J6T,gi-I-622TP,Asteroideae (Cass.) Lindl.,subfamily
gi-I-622TP,gi-I-ST,Asteraceae Dumort.,family
gi-I-ST,gi-I-MG,Asterales,order
gi-I-6TWVR,gi-I-6JYZ,Pedicularis densiflora Benth.,species
gi-I-6JYZ,gi-I-DQG,Pedicularis L.,genus
gi-I-DQG,gi-I-BMGTX,Orobanchaceae Vent.,family
gi-I-78D2F,gi-I-63PCW,"Psednos sargassicus Chernova, 2001",species
gi-I-63PCW,gi-I-624XH,Psednos,genus
gi-I-624XH,gi-I-42M,Liparidae,family
gi-I-42M,gi-I-BXVWY,Scorpaeniformes,order
gi-I-BXVWY,gi-I-8VVWB,Actinopterygii,class
gi-I-6VQ83,gi-I-6SNZ,"Plethodon cheoah Highton & Peabody, 2000",species
gi-I-6SNZ,gi-I-628M6,"Plethodon Tschudi, 1838",genus
gi-I-628M6,gi-I-625RT,"Plethodontinae Gray, 1850",subfamily
gi-I-625RT,gi-I-W3,"Plethodontidae Gray, 1850",family
gi-I-W3,gi-I-PH,Caudata,order
gi-I-PH,gi-I-9CK8W,Amphibia,class
gi-I-3M6XX,gi-I-4XSY,Hoheria populnea A. Cunn.,species
gi-I-4XSY,gi-I-93LT9,Hoheria A. Cunn.,genus
gi-I-93LT9,gi-I-CDB,Malvoideae Burnett,subfamily
gi-I-CDB,gi-I-B7VXR,Malvaceae Juss.,family
gi-I-B7VXR,gi-I-MG,Malvales Juss. ex Bercht. & J. Presl,order
gi-I-487D,gi-I-J9G,"Dremomys Heude, 1898",genus
gi-I-J9G,gi-I-G48,"Callosciurinae Pocock, 1923",subfamily
gi-I-G48,gi-I-4FD,"Sciuridae Fischer de Waldheim, 1817",family
gi-I-4FD,gi-I-B6L6L,"Sciuromorpha Brandt, 1855",suborder
gi-I-B6L6L,gi-I-LG,"Rodentia Bowdich, 1821",order
gi-I-GW26,gi-I-62CHR,Artemisia aleutica Hultén,species
gi-I-62CHR,gi-I-J6T,Artemisia L.,genus
gi-I-LS4K,gi-I-62GF8,Bidens bipinnata L.,species
gi-I-62GF8,gi-I-J6T,Bidens L.,genus
gi-I-TBT6,gi-I-3LLS,"Chaetodipus lineatus (Dalquest, 1951)",species
gi-I-3LLS,gi-I-93MYY,"Chaetodipus Merriam, 1889",genus
gi-I-93MYY,gi-I-6255W,"Perognathinae Coues, 1875",subfamily
gi-I-6255W,gi-I-4CW,"Heteromyidae Gray, 1868",family
gi-I-4CW,gi-I-B6L6L,"Castorimorpha A. E. Wood, 1955",suborder
gi-I-3QTZ5,gi-I-56Y4,Juncus occidentalis Wiegand,species
gi-I-56Y4,gi-I-BJG,Juncus L.,genus
gi-I-BJG,gi-I-627VM,Juncaceae Juss.,family
gi-I-627VM,gi-I-L2L,Poales,order
gi-I-L2L,gi-I-TP,Liliopsida,class
gi-I-7F4R8,gi-I-85JD,Utricularia macrorhiza Leconte,species
gi-I-85JD,gi-I-KGZ,Utricularia L.,genus
gi-I-KGZ,gi-I-BVK,Utricularioideae Komiya,subfamily
gi-I-BVK,gi-I-BMGTX,Lentibulariaceae Rich.,family
gi-I-5WTTW,gi-I-62HVC,"Buteo lineatus (Gmelin, 1788)",species
gi-I-62HVC,gi-I-5W6,"Buteo Lacepede, 1799",genus
gi-I-5W6,gi-I-MB,"Accipitridae Vigors, 1824",family
gi-I-MB,gi-I-V2,Accipitriformes,order
gi-I-3T789,gi-I-5CC6,"Leopardus guigna (Molina, 1782)",species
gi-I-5CC6,gi-I-JKL,"Leopardus Gray, 1842",genus
gi-I-JKL,gi-I-623RM,"Felinae Fischer de Waldheim, 1817",subfamily
gi-I-623RM,gi-I-4DL,"Felidae Fischer de Waldheim, 1817",family
gi-I-4DL,gi-I-B6L7F,"Feliformia Kretzoi, 1945",suborder
gi-I-B6L7F,gi-I-LG,"Carnivora Bowdich, 1821",order
gi-I-452ZZ,gi-I-63CR4,"Myiophobus lintoni Meyer de Schauensee, 1951",species
gi-I-63CR4,gi-I-HMW,"Myiophobus Reichenbach, 1850",genus
gi-I-GMVB,gi-I-7NPPK,"Arion lusitanicus Mabille, 1868",species
gi-I-7NPPK,gi-I-7NFZC,"Arion A. Férussac, 1819",genus
gi-I-7NFZC,gi-I-7NGGY,"Arionidae Gray, 1840",family
gi-I-7NGGY,gi-I-7NW25,"Arionoidea Gray, 1840",superfamily
gi-I-7NW25,gi-I-7NVZP,Arionoidei,infraorder
gi-I-7NVZP,gi-I-B6L66,"Helicina Rafinesque, 1815",suborder
gi-I-B6L66,gi-I-7NVXY,"Stylommatophora A. Schmidt, 1855",order
gi-I-7NVXY,gi-I-7VBDS,"Eupulmonata Haszprunar & Huber, 1990",superorder
gi-I-7VBDS,gi-I-7NF59,Tectipleura,subterclass
gi-I-7NF59,gi-I-7NVXJ,Euthyneura,infraclass
gi-I-7NVXJ,gi-I-BMGTT,"Heterobranchia Burmeister, 1837",subclass
gi-I-BMGTT,gi-I-M2L,"Gastropoda Cuvier, 1795",class
gi-I-M2L,gi-I-N,Mollusca,phylum
gi-I-7WPXW,gi-I-8NYKX,"Reithrodontomys (Reithrodontomys) chrysopsis Merriam, 1900",species
gi-I-8NYKX,gi-I-63QKF,"Reithrodontomys Giglioli, 1874",subgenus
gi-I-63QKF,gi-I-JYR,"Reithrodontomys Giglioli, 1874",genus
gi-I-JYR,gi-I-8P5,"Neotominae Merriam, 1894",subfamily
gi-I-8P5,gi-I-622LW,"Cricetidae Fischer, 1817",family
gi-I-622LW,gi-I-622X6,"Muroidea Illiger, 1811",superfamily
gi-I-622X6,gi-I-B6L6L,"Myomorpha Brandt, 1855",suborder
gi-I-4G5TL,gi-I-6NCS,"Philepitta castanea (Statius Muller, 1776)",species
gi-I-6NCS,gi-I-6269S,"Philepitta I. Geoffroy Saint-Hilaire, 1838",genus
gi-I-6269S,gi-I-3RL,Philepittidae,family
gi-I-4Z3P5,gi-I-7KZF,"Spilogale gracilis Merriam, 1890",species
gi-I-7KZF,gi-I-CLQ,"Spilogale Gray, 1865",genus
gi-I-CLQ,gi-I-4CT,"Mephitidae Bonaparte, 1845",family
gi-I-4CT,gi-I-B6L7F,"Caniformia Kretzoi, 1938",suborder
gi-I-36RCV,gi-I-46K8,Dirca palustris L.,species
gi-I-46K8,gi-I-KFF,Dirca L.,genus
gi-I-KFF,gi-I-H8Q,Thymelaeoideae Burnett,subfamily
gi-I-H8Q,gi-I-B7VXR,Thymelaeaceae Juss.,family
gi-I-GV8B,gi-I-339D,"Arses kaupi Gould, 1851",species
gi-I-339D,gi-I-CVP,"Arses Lesson, 1831",genus
gi-I-CVP,gi-I-3RL,"Monarchidae Bonaparte, 1854",family
gi-I-SL5J,gi-I-8NMZ4,"Cerataphis orchidearum (Westwood, 1879)",species
gi-I-8NMZ4,gi-I-8PS3J,"Cerataphis Lichtenstein, 1883",genus
gi-I-8PS3J,gi-I-8PRXZ,"Cerataphidini Baker, 1920",tribe
gi-I-8PRXZ,gi-I-8NKH2,"Hormaphidinae Tullgren, 1909",subfamily
gi-I-8NKH2,gi-I-8NKG4,"Aphididae Latreille, 1802",family
gi-I-8NKG4,gi-I-8PRTX,"Aphidoidea Latreille, 1802",superfamily
gi-I-8PRTX,gi-I-BXWD4,"Aphidomorpha Heslop-Harrison, 1952",infraorder
gi-I-BXWD4,gi-I-BXVWV,"Sternorrhyncha Amyot & Audinet-Serville, 1843",suborder
gi-I-BXVWV,gi-I-H6,"Hemiptera Linnaeus, 1758",order
gi-I-6XD8B,gi-I-7BWT,Salmea scandens (L.) DC.,species
gi-I-7BWT,gi-I-J6T,Salmea DC.,genus
gi-I-4DXZ3,gi-I-6JG5,"Passerina caerulea (Linnaeus, 1758)",species
gi-I-6JG5,gi-I-7QR,"Passerina Vieillot, 1816",genus
gi-I-7QR,gi-I-3RL,Cardinalidae,family
gi-I-595QK,gi-I-82N4,Triumfetta rhomboidea Jacq.,species
gi-I-82N4,gi-I-JMJ,Triumfetta L.,genus
gi-I-JMJ,gi-I-CDB,Grewioideae Dippel,subfamily
gi-I-652F2,gi-I-P7R,Adenostoma fasciculatum Hook. & Arn.,species
gi-I-P7R,gi-I-BVBB9,Adenostoma Hook. & Arn.,genus
gi-I-BVBB9,gi-I-FTK,Amygdaloideae Arn.,subfamily
gi-I-FTK,gi-I-BMGVT,Rosaceae Juss.,family
gi-I-BMGVT,gi-I-MG,Rosales Bercht. & J. Presl,order
gi-I-3BCRV,gi-I-63447,Erythranthe gemmipara (W. A. Weber) G. L. Nesom & N. S. Fraga,species
gi-I-63447,gi-I-625ZW,Erythranthe Spach,genus
gi-I-625ZW,gi-I-BMGTX,Phrymaceae Schauer,family
gi-I-QHJT,gi-I-3GMS,"Campylopterus largipennis (Boddaert, 1783)",species
gi-I-3GMS,gi-I-KGD,"Campylopterus Swainson, 1827",genus
gi-I-KGD,gi-I-HHZ,Trochilinae,subfamily
gi-I-HHZ,gi-I-Q9,Trochilidae,family
gi-I-Q9,gi-I-V2,Apodiformes,order
gi-I-32MTS,gi-I-3XLC,"Cutia nipalensis Hodgson, 1837",species
gi-I-3XLC,gi-I-624XT,"Cutia Hodgson, 1837",genus
gi-I-624XT,gi-I-3RL,"Leiothrichidae Swainson, 1832",family
gi-I-4HJB4,gi-I-8NXLQ,"Physophorina livingstonii Westwood, 1874",species
gi-I-8NXLQ,gi-I-8NKPD,"Physophorina Westwood, 1874",genus
gi-I-8NKPD,gi-I-8NKGJ,"Pneumoridae Thunberg, 1810",family
gi-I-8NKGJ,gi-I-8NKFS,"Pneumoroidea Thunberg, 1810",superfamily
gi-I-8NKFS,gi-I-8NKFL,"Acrididea Targioni-Tozzetti, 1882",infraorder
gi-I-8NKFL,gi-I-B7VSM,"Caelifera Ander, 1936",suborder
gi-I-B7VSM,gi-I-H6,"Orthoptera Latreille, 1810",order
gi-I-7G3RQ,gi-I-86VM,Viola striata Aiton,species
gi-I-86VM,gi-I-KHG,Viola L.,genus
gi-I-KHG,gi-I-6272Z,Violoideae Beilschm.,subfamily
gi-I-6272Z,gi-I-MLP,Violaceae Batsch,family
gi-I-MLP,gi-I-MG,Malpighiales,order
gi-I-6CT28,gi-I-44GH,"Dicaeum erythrorhynchos (Latham, 1790)",species
gi-I-44GH,gi-I-6248X,"Dicaeum Cuvier, 1816",genus
gi-I-6248X,gi-I-3RL,"Dicaeidae Bonaparte, 1853",family
gi-I-B8VRM,gi-I-B8V4W,Adiantum formosum R. Br.,species
gi-I-B8V4W,gi-I-BV8R2,Adiantum L.,genus
gi-I-BV8R2,gi-I-B8V4Q,Vittarioideae Link,subfamily
gi-I-B8V4Q,gi-I-B8TXB,Pteridaceae E. D. M. Kirchn.,family
gi-I-B8TXB,gi-I-GV,Polypodiales Link,order
gi-I-GV,gi-I-TP,Polypodiopsida,class
gi-I-BB58M,gi-I-B8Z6M,Pleopeltis thyssanolepis (A. Braun ex Klotzsch) E. G. Andrews & Windham,species
gi-I-B8Z6M,gi-I-B8X4C,Pleopeltis Humb. & Bonpl. ex Willd.,genus
gi-I-B8X4C,gi-I-B8TXC,Polypodioideae Sweet,subfamily
gi-I-B8TXC,gi-I-B8TXB,Polypodiaceae J. & C. Presl,family
gi-I-6XJB3,gi-I-7C7R,Sanicula bipinnatifida Douglas,species
gi-I-7C7R,gi-I-7NDYX,Sanicula L.,genus
gi-I-7NDYX,gi-I-6KC,Saniculoideae (Drude) Thorne ex Royen,subfamily
gi-I-4KH7R,gi-I-6T2Q,"Ploceus alienus (Sharpe, 1902)",species
gi-I-6T2Q,gi-I-627GF,"Ploceus Cuvier, 1816",genus
gi-I-627GF,gi-I-3RL,"Ploceidae Sundevall, 1836",family
gi-I-5ZFHK,gi-I-3RDB,"Clytorhynchus pachycephaloides Elliot, 1870",species
gi-I-3RDB,gi-I-CVP,"Clytorhynchus Elliot, 1870",genus
gi-I-76PH5,gi-I-6KXF,Peperomia alata Ruiz & Pav.,species
gi-I-6KXF,gi-I-K49,Peperomia Ruiz & Pav.,genus
gi-I-K49,gi-I-625NL,Peperomioideae Miq.,subfamily
gi-I-625NL,gi-I-BMH5J,Piperaceae Giseke,family
gi-I-BMH5J,gi-I-MG,Piperales Bercht. & J. Presl,order
gi-I-MYGH,gi-I-3CHC,"Brachyphylla cavernarum Gray, 1834",species
gi-I-3CHC,gi-I-LC9,"Brachyphylla Gray, 1834",genus
gi-I-LC9,gi-I-KND,"Brachyphyllina Gray, 1866",subtribe
gi-I-KND,gi-I-JLS,"Brachyphyllini Gray, 1866",tribe
gi-I-JLS,gi-I-625JW,"Glossophaginae Bonaparte, 1845",subfamily
gi-I-625JW,gi-I-622NM,"Phyllostomidae Gray, 1825",family
gi-I-622NM,gi-I-4FX,"Noctilionoidea Gray, 1821",superfamily
gi-I-BNGWV,gi-I-3G6FP,"Glaucomys sabrinus fuscus Miller, 1936",subspecies
gi-I-3G6FP,gi-I-634G9,"Glaucomys sabrinus (Shaw, 1801)",species
gi-I-634G9,gi-I-L73,"Glaucomys Thomas, 1908",genus
gi-I-L73,gi-I-KB9,"Pteromyini Brandt, 1855",tribe
gi-I-KB9,gi-I-G48,"Sciurinae Fischer de Waldheim, 1817",subfamily
