name,parent_name,desc,rank
gi-J-JCD,gi-J-622TP,Cichorioideae (Juss.) Chev.,subfamily
gi-J-377ZX,gi-J-47LZ,"Doliornis sclateri Taczanowski, 1874",species
gi-J-47LZ,gi-J-K5Q,"Doliornis Taczanowski, 1874",genus
gi-J-K5Q,gi-J-8MB,Phytotominae,subfamily
gi-J-8MB,gi-J-3RL,Cotingidae,family
gi-J-63JGF,gi-J-93LTF,Papaver L.,genus
gi-J-93LTF,gi-J-DX3,Papaveroideae Eaton,subfamily
gi-J-DX3,gi-J-B7VXX,Papaveraceae Juss.,family
gi-J-B7VXX,gi-J-MG,Ranunculales Juss. ex Bercht. & J. Presl,order
gi-J-4Q8CY,gi-J-753F,"Ptiloprora guisei (De Vis, 1894)",species
gi-J-753F,gi-J-CKJ,"Ptiloprora De Vis, 1894",genus
gi-J-CKJ,gi-J-3RL,Meliphagidae,family
gi-J-3YW6G,gi-J-5MVT,"Megalurus albolimbatus (Albertis & Salvadori, 1879)",species
gi-J-5MVT,gi-J-C5V,"Megalurus Horsfield, 1821",genus
gi-J-C5V,gi-J-3RL,"Locustellidae Bonaparte, 1875",family
gi-J-4JYNG,gi-J-6S4T,"Platysmurus leucopterus (Temminck, 1824)",species
gi-J-6S4T,gi-J-8L6,"Platysmurus Reichenbach, 1850",genus
gi-J-XBH6,gi-J-3SMP,"Columba unicincta Cassin, 1860",species
gi-J-3SMP,gi-J-JCZ,"Columba Linnaeus, 1758",genus
gi-J-JCZ,gi-J-8GD,Columbinae,subfamily
gi-J-7VW9P,gi-J-8P3RC,"Mus (Nannomys) bufo (Thomas, 1906)",species
gi-J-8P3RC,gi-J-5VV3,"Nannomys Peters, 1876",subgenus
gi-J-5VV3,gi-J-JXJ,"Mus Linnaeus, 1758",genus
gi-J-JXJ,gi-J-624PH,"Murinae Illiger, 1811",subfamily
gi-J-624PH,gi-J-622LW,"Muridae Illiger, 1811",family
gi-J-622LW,gi-J-622X6,"Muroidea Illiger, 1811",superfamily
gi-J-622X6,gi-J-B6L6L,"Myomorpha Brandt, 1855",suborder
gi-J-MYGH,gi-J-3CHC,"Brachyphylla cavernarum Gray, 1834",species
gi-J-3CHC,gi-J-LC9,"Brachyphylla Gray, 1834",genus
gi-J-LC9,gi-J-KND,"Brachyphyllina Gray, 1866",subtribe
gi-J-KND,gi-J-JLS,"Brachyphyllini Gray, 1866",tribe
gi-J-JLS,gi-J-625JW,"Glossophaginae Bonaparte, 1845",subfamily
gi-J-69YNJ,gi-J-62LHC,"Chodsigoa smithii Thomas, 1911",species
gi-J-62LHC,gi-J-L27,"Chodsigoa Kastchenko, 1907",genus
gi-J-L27,gi-J-KCG,"Nectogalini Anderson, 1879",tribe
gi-J-KCG,gi-J-626YH,"Soricinae G. Fischer, 1814",subfamily
gi-J-626YH,gi-J-B6L7N,"Soricidae G. Fischer, 1814",family
gi-J-B6L7N,gi-J-LG,"Soricomorpha Gregory, 1910",order
gi-J-6HD8M,gi-J-62SW3,"Euplectes franciscanus (Isert, 1789)",species
gi-J-62SW3,gi-J-627GF,"Euplectes Swainson, 1829",genus
