name,parent_name,desc,rank
gi-K-8BX,gi-K-3RL,Climacteridae,family
gi-K-4FQ22,gi-K-6MLZ,"Phaethornis augusti (Bourcier, 1847)",species
gi-K-6MLZ,gi-K-K4V,"Phaethornis Swainson, 1827",genus
gi-K-K4V,gi-K-HHZ,Phaethornithinae,subfamily
gi-K-HHZ,gi-K-Q9,Trochilidae,family
gi-K-Q9,gi-K-V2,Apodiformes,order
gi-K-39BK8,gi-K-7NYH8,"Elliptio hopetonensis (I. Lea, 1838)",species
gi-K-7NYH8,gi-K-7NMK6,"Elliptio Rafinesque, 1819",genus
gi-K-7NMK6,gi-K-7NLMC,"Pleurobemini Hannibal, 1912",tribe
gi-K-7NLMC,gi-K-7NLH4,"Ambleminae Rafinesque, 1820",subfamily
gi-K-7NLH4,gi-K-7NFRS,"Unionidae Rafinesque, 1820",family
gi-K-7NFRS,gi-K-B6L8S,"Unionoidea Rafinesque, 1820",superfamily
gi-K-B6L8S,gi-K-7NF5J,"Unionida Gray, 1854",order
gi-K-7NF5J,gi-K-7NVXR,"Palaeoheterodonta Newell, 1965",subterclass
gi-K-7NVXR,gi-K-7NVXG,"Heteroconchia J. E. Gray, 1854",infraclass
gi-K-7NVXG,gi-K-BMGWC,"Autobranchia Grobben, 1894",subclass
gi-K-BMGWC,gi-K-M2L,"Bivalvia Linnaeus, 1758",class
gi-K-M2L,gi-K-N,Mollusca,phylum
gi-K-6M3JF,gi-K-4VWT,"Herpestes fuscus Waterhouse, 1838",species
gi-K-4VWT,gi-K-624SY,"Herpestes Illiger, 1811",genus
gi-K-624SY,gi-K-4DL,"Herpestidae Bonaparte, 1845",family
gi-K-4DL,gi-K-B6L7F,"Feliformia Kretzoi, 1945",suborder
gi-K-B6L7F,gi-K-LG,"Carnivora Bowdich, 1821",order
gi-K-94CT,gi-K-MLD,Acer leucoderme Small,species
gi-K-MLD,gi-K-JP8,Acer L.,genus
gi-K-JP8,gi-K-FY3,Hippocastanoideae Burnett,subfamily
gi-K-FY3,gi-K-B7VXJ,Sapindaceae Juss.,family
gi-K-B7VXJ,gi-K-MG,Sapindales Juss. ex Bercht. & J. Presl,order
gi-K-3K48B,gi-K-635GX,"Helcogrammoides cunninghami (Smitt, 1898)",species
gi-K-635GX,gi-K-HH8,Helcogrammoides,genus
gi-K-HH8,gi-K-PC,Tripterygiidae,family
gi-K-4MQL3,gi-K-6WFQ,"Proechimys guyannensis (É. Geoffroy Saint-Hilaire, 1803)",species
gi-K-6WFQ,gi-K-JK6,"Proechimys J. A. Allen, 1899",genus
gi-K-JK6,gi-K-9JX,"Eumysopinae Rusconi, 1935",subfamily
gi-K-9JX,gi-K-4L7,"Echimyidae Gray, 1825",family
gi-K-4L7,gi-K-4DX,"Hystricognathi Brandt, 1855",infraorder
gi-K-4DX,gi-K-B6L6L,"Hystricomorpha Brandt, 1855",suborder
gi-K-8LXKZ,gi-K-8LXJK,"Rhyneptesicus nasutus nasutus (Dobson, 1877)",subspecies
gi-K-8LXJK,gi-K-8LSWJ,"Rhyneptesicus nasutus (Dobson, 1877)",species
gi-K-8LSWJ,gi-K-628BX,"Rhyneptesicus Bianchi, 1917",genus
gi-K-628BX,gi-K-HTH,"Vespertilioninae Gray, 1821",subfamily
gi-K-6HWGY,gi-K-4JY9,"Ficedula buruensis (Hartert, 1899)",species
gi-K-4JY9,gi-K-CZN,"Ficedula Brisson, 1760",genus
gi-K-CZN,gi-K-3RL,"Muscicapidae Fleming, 1822",family
gi-K-77RNL,gi-K-6T2Q,"Ploceus reichardi Reichenow, 1886",species
gi-K-6T2Q,gi-K-627GF,"Ploceus Cuvier, 1816",genus
gi-K-627GF,gi-K-3RL,"Ploceidae Sundevall, 1836",family
gi-K-PKWR,gi-K-62J95,"Callacanthis burtoni (Gould, 1838)",species
gi-K-62J95,gi-K-6244D,"Callacanthis Reichenbach, 1850",genus
gi-K-6244D,gi-K-3RL,"Fringillidae Leach, 1820",family
gi-K-4N8BC,gi-K-6Y6B,"Prunella fagani (Ogilvie-Grant, 1913)",species
gi-K-6Y6B,gi-K-F6N,"Prunella Vieillot, 1816",genus
gi-K-F6N,gi-K-3RL,"Prunellidae Richmond, 1908",family
gi-K-4RSWB,gi-K-77ST,Reseda luteola L.,species
gi-K-77ST,gi-K-FLK,Reseda L.,genus
gi-K-FLK,gi-K-6228L,Resedaceae Martinov,family
gi-K-6228L,gi-K-MG,Brassicales Bromhead,order
gi-K-5XKPL,gi-K-3KZQ,"Cercococcyx mechowi Cabanis, 1882",species
gi-K-3KZQ,gi-K-626TC,"Cercococcyx Cabanis, 1882",genus
gi-K-626TC,gi-K-8S7,Cuculinae,subfamily
gi-K-8S7,gi-K-32K,Cuculidae,family
gi-K-32K,gi-K-V2,Cuculiformes,order
gi-K-3CMDH,gi-K-4G9J,"Eupherusa eximia (Delattre, 1843)",species
gi-K-4G9J,gi-K-KGD,"Eupherusa Gould, 1857",genus
gi-K-KGD,gi-K-HHZ,Trochilinae,subfamily
gi-K-8LFVV,gi-K-6QRN,"Pipistrellus murrayi Andrews, 1900",species
gi-K-6QRN,gi-K-L5K,"Pipistrellus Kaup, 1829",genus
gi-K-L5K,gi-K-628BX,"Pipistrellini Tate, 1942",tribe
gi-K-6ZXQ8,gi-K-7P7J,"Streptopelia hypopyrrha (Reichenow, 1910)",species
gi-K-7P7J,gi-K-JCZ,"Streptopelia Bonaparte, 1855",genus
gi-K-JCZ,gi-K-8GD,Columbinae,subfamily
gi-K-8GD,gi-K-Z8,Columbidae,family
gi-K-Z8,gi-K-V2,Columbiformes,order
gi-K-3BNZV,gi-K-635B2,Eubotrys racemosa (L.) Nutt.,species
gi-K-635B2,gi-K-93LTS,Eubotrys Nutt.,genus
gi-K-93LTS,gi-K-623P8,Vaccinioideae Arn.,subfamily
gi-K-623P8,gi-K-625QY,Ericaceae Juss.,family
gi-K-625QY,gi-K-MG,Ericales,order
gi-K-353M7,gi-K-43NW,"Desmognathus aeneus Brown & Bishop, 1947",species
gi-K-43NW,gi-K-628M6,"Desmognathus Baird, 1850",genus
gi-K-628M6,gi-K-625RT,"Plethodontinae Gray, 1850",subfamily
gi-K-625RT,gi-K-W3,"Plethodontidae Gray, 1850",family
gi-K-W3,gi-K-PH,Caudata,order
gi-K-PH,gi-K-9CK8W,Amphibia,class
gi-K-4VZ59,gi-K-6458C,Scrophularia californica Cham. & Schltdl.,species
gi-K-6458C,gi-K-KBD,Scrophularia L.,genus
gi-K-KBD,gi-K-G5R,Scrophularioideae Beilschm.,subfamily
gi-K-G5R,gi-K-BMGTX,Scrophulariaceae Juss.,family
gi-K-45HW5,gi-K-5WXY,"Myzomela rosenbergii Schlegel, 1871",species
gi-K-5WXY,gi-K-CKJ,"Myzomela Vigors & Horsfield, 1827",genus
gi-K-CKJ,gi-K-3RL,Meliphagidae,family
gi-K-6BPL5,gi-K-3X8N,"Cuculus gularis Stephens, 1815",species
gi-K-3X8N,gi-K-626TC,"Cuculus Linnaeus, 1758",genus
gi-K-5HC62,gi-K-6HSCP,Ferula communis subsp. communis,subspecies
gi-K-6HSCP,gi-K-4JW3,Ferula communis L.,species
gi-K-4JW3,gi-K-J5W,Ferula L.,genus
gi-K-J5W,gi-K-6KC,Apioideae (Drude) Thorne ex Royen,subfamily
gi-K-6KC,gi-K-BMH4H,Apiaceae Lindl.,family
gi-K-BMH4H,gi-K-MG,Apiales Nakai,order
gi-K-6JZCL,gi-K-4MGL,Gaultheria poeppigii DC.,species
gi-K-4MGL,gi-K-93LTS,Gaultheria Kalm ex L.,genus
gi-K-7VR5D,gi-K-8P3SY,"Macropus (Notamacropus) eugenii (Desmarest, 1817)",species
gi-K-8P3SY,gi-K-639VN,"Notamacropus Dawson & Flannery, 1985",subgenus
gi-K-639VN,gi-K-628L6,"Macropus Shaw, 1790",genus
gi-K-628L6,gi-K-CBD,"Macropodinae Gray, 1821",subfamily
gi-K-CBD,gi-K-6238Q,"Macropodidae Gray, 1821",family
gi-K-6238Q,gi-K-35B,"Macropodiformes Ameghino, 1889",suborder
gi-K-35B,gi-K-LJ,"Diprotodontia Owen, 1866",order
gi-K-LJ,gi-K-924GT,"Metatheria Huxley, 1880",infraclass
gi-K-BNC6Z,gi-K-363Y8,"Diglossa caerulescens caerulescens (P. L. Sclater, 1856)",subspecies
gi-K-363Y8,gi-K-632RM,"Diglossa caerulescens (P. L. Sclater, 1856)",species
gi-K-632RM,gi-K-H87,"Diglossa Wagler, 1832",genus
gi-K-H87,gi-K-3RL,Thraupidae,family
gi-K-4R434,gi-K-76H9,"Quemisia gravis Miller, 1929",species
gi-K-76H9,gi-K-JNH,"Quemisia Miller, 1929",genus
gi-K-JNH,gi-K-62554,"Heptaxodontinae Anthony, 1917",subfamily
gi-K-62554,gi-K-4L7,"Heptaxodontidae Anthony, 1917",family
gi-K-34JH3,gi-K-42R2,Delphinium nudicaule Torr. & A. Gray,species
gi-K-42R2,gi-K-K95,Delphinium L.,genus
gi-K-K95,gi-K-FJR,Ranunculoideae Arn.,subfamily
gi-K-FJR,gi-K-B7VXX,Ranunculaceae Juss.,family
gi-K-B7VXX,gi-K-MG,Ranunculales Juss. ex Bercht. & J. Presl,order
gi-K-MYWB,gi-K-3CJ8,"Brachypteracias leptosomus (R. Lesson, 1833)",species
gi-K-3CJ8,gi-K-7CW,"Brachypteracias Lafresnaye, 1834",genus
gi-K-7CW,gi-K-ZL,Brachypteraciidae,family
gi-K-ZL,gi-K-V2,Coraciiformes,order
gi-K-4G2JC,gi-K-6N5R,"Phenacogaster franciscoensis Eigenmann, 1911",species
gi-K-6N5R,gi-K-7ZZ,Phenacogaster,genus
gi-K-7ZZ,gi-K-X2,Characidae,family
gi-K-X2,gi-K-BXVWY,Characiformes,order
gi-K-4BJCS,gi-K-6BFW,Oxypolis occidentalis J. M. Coult. & Rose,species
gi-K-6BFW,gi-K-J5W,Oxypolis Raf.,genus
gi-K-696BD,gi-K-62J7B,"Calandrella somalica (Sharpe, 1895)",species
gi-K-62J7B,gi-K-667,"Calandrella Kaup, 1829",genus
gi-K-667,gi-K-3RL,"Alaudidae Vigors, 1825",family
gi-K-6WTPB,gi-K-78R9,"Rhinomyias oscillans (Hartert, 1897)",species
gi-K-78R9,gi-K-CZN,"Rhinomyias Sharpe, 1879",genus
gi-K-KCM4,gi-K-3798,"Baeolophus bicolor (Linnaeus, 1766)",species
gi-K-3798,gi-K-626B2,"Baeolophus Cabanis, 1850",genus
gi-K-626B2,gi-K-3RL,"Paridae Vigors, 1825",family
gi-K-7W4BT,gi-K-8P3XR,"Ochotona (Pika) argentata Howell, 1928",species
gi-K-8P3XR,gi-K-66FR,"Pika Lacépède, 1799",subgenus
gi-K-66FR,gi-K-626HM,"Ochotona Link, 1795",genus
gi-K-626HM,gi-K-BMGW2,"Ochotonidae Thomas, 1897",family
gi-K-BMGW2,gi-K-LG,"Lagomorpha Brandt, 1855",order
gi-K-CZT,gi-K-4CT,"Mustelidae Fischer, 1817",family
gi-K-4CT,gi-K-B6L7F,"Caniformia Kretzoi, 1938",suborder
gi-K-H3SD,gi-K-33J6,"Arvicanthis ansorgei Thomas, 1910",species
gi-K-33J6,gi-K-JXJ,"Arvicanthis Lesson, 1842",genus
gi-K-JXJ,gi-K-624PH,"Murinae Illiger, 1811",subfamily
gi-K-624PH,gi-K-622LW,"Muridae Illiger, 1811",family
