name,parent_name,desc,rank
gi-G-9KFLH,gi-G-62Z2Q,Lindera benzoin (L.) Blume,species
gi-G-62Z2Q,gi-G-BTB,Lindera (Adans.) Thunb.,genus
gi-G-BTB,gi-G-BMGVF,Lauraceae Juss.,family
gi-G-BMGVF,gi-G-MG,Laurales Juss. ex Bercht. & J. Presl,order
gi-G-45ZS2,gi-G-5Y6J,"Necromys lasiurus (Lund, 1841)",species
gi-G-5Y6J,gi-G-93N26,"Necromys Ameghino, 1889",genus
gi-G-93N26,gi-G-8P5,"Sigmodontinae Wagner, 1843",subfamily
gi-G-93W3,gi-G-627QR,"Accipiter tachiro (Daudin, 1800)",species
gi-G-627QR,gi-G-5W6,"Accipiter Brisson, 1760",genus
gi-G-5W6,gi-G-MB,"Accipitridae Vigors, 1824",family
gi-G-MB,gi-G-V2,Accipitriformes,order
gi-G-6V7L5,gi-G-63N2W,Phacelia hastata Douglas ex Lehm.,species
gi-G-63N2W,gi-G-B8V,Phacelia Juss.,genus
gi-G-B8V,gi-G-BMH4M,Hydrophyllaceae R. Br.,family
gi-G-BMH4M,gi-G-MG,Boraginales Juss. ex Bercht. & J. Presl,order
gi-G-3KTMF,gi-G-637C9,"Hemitriccus minimus (Todd, 1925)",species
gi-G-637C9,gi-G-HMW,"Hemitriccus Cabanis & Heine, 1859",genus
gi-G-HMW,gi-G-3RL,Tyrannidae,family
gi-G-4DJH7,gi-G-6HJY,"Pardirallus maculatus (Boddaert, 1783)",species
gi-G-6HJY,gi-G-FJ9,"Pardirallus Bonaparte, 1856",genus
gi-G-FJ9,gi-G-6223K,Rallidae,family
gi-G-6223K,gi-G-V2,Gruiformes,order
gi-G-7WRTQ,gi-G-8P3ZG,"Salpingotus (Prosalpingotus) thomasi Vinogradov, 1928",species
gi-G-8P3ZG,gi-G-643NN,"Prosalpingotus Vorontsov & Shenbrot, 1984",subgenus
gi-G-643NN,gi-G-6274C,"Salpingotus Vinogradov, 1922",genus
gi-G-6274C,gi-G-9CB,"Cardiocraniinae Vinogradov, 1925",subfamily
gi-G-9CB,gi-G-537,"Dipodidae Fischer de Waldheim, 1817",family
gi-G-537,gi-G-622X6,"Dipodoidea Fischer de Waldheim, 1817",superfamily
gi-G-6NTZM,gi-G-62W3P,"Lalage leucopygialis Walden, 1872",species
gi-G-62W3P,gi-G-7MZ,"Lalage F. Boie, 1826",genus
gi-G-7MZ,gi-G-3RL,"Campephagidae Vigors, 1825",family
gi-G-6VZ83,gi-G-63PJP,"Protographium philolaus (Boisduval, 1836)",species
gi-G-63PJP,gi-G-DX5,Protographium,genus
gi-G-DX5,gi-G-5G9,Papilionidae,family
gi-G-5G9,gi-G-BJ5MJ,Papilionoidea,superfamily
gi-G-BJ5MJ,gi-G-H6,"Lepidoptera Linnaeus, 1758",order
gi-G-H6,gi-G-RT,Insecta,class
gi-G-RT,gi-G-N,Arthropoda,phylum
gi-G-4PZZ4,gi-G-74SV,"Pteronotropis merlini (Suttkus & Mettee, 2001)",species
gi-G-74SV,gi-G-6248Q,Pteronotropis,genus
gi-G-6248Q,gi-G-334,Cyprinidae,family
gi-G-334,gi-G-BXVWY,Cypriniformes,order
gi-G-BXVWY,gi-G-8VVWB,Actinopterygii,class
gi-G-CKF6,gi-G-TC4,"Amazona tucumana (Cabanis, 1885)",species
gi-G-TC4,gi-G-628M9,"Amazona Lesson, 1830",genus
gi-G-628M9,gi-G-FBD,Psittacinae,subfamily
gi-G-FBD,gi-G-3X7,Psittacidae,family
gi-G-3X7,gi-G-V2,Psittaciformes,order
gi-G-3BCTV,gi-G-63447,Erythranthe rubella (A. Gray) N. S. Fraga,species
gi-G-63447,gi-G-625ZW,Erythranthe Spach,genus
gi-G-625ZW,gi-G-BMGTX,Phrymaceae Schauer,family
gi-G-BMGTX,gi-G-MG,Lamiales Bromhead,order
gi-G-5BH92,gi-G-86VM,Viola nuttallii Pursh,species
gi-G-86VM,gi-G-KHG,Viola L.,genus
gi-G-KHG,gi-G-6272Z,Violoideae Beilschm.,subfamily
gi-G-6272Z,gi-G-MLP,Violaceae Batsch,family
gi-G-MLP,gi-G-MG,Malpighiales,order
gi-G-ZK39,gi-G-3W2V,"Crocidura ansellorum Hutterer & Dippenaar, 1987",species
gi-G-3W2V,gi-G-626TY,"Crocidura Wagler, 1832",genus
gi-G-626TY,gi-G-626YH,"Crocidurinae Milne-Edwards, 1872",subfamily
gi-G-626YH,gi-G-B6L7N,"Soricidae G. Fischer, 1814",family
gi-G-B6L7N,gi-G-LG,"Soricomorpha Gregory, 1910",order
gi-G-7B2XS,gi-G-84TXX,"Stylophora wellsi Scheer, 1964",species
gi-G-84TXX,gi-G-BRWQG,"Stylophora Schweigger, 1820",genus
gi-G-BRWQG,gi-G-BX37Y,"Pocilloporidae Gray, 1840",family
gi-G-BX37Y,gi-G-B8V7V,"Vacatina Okubo, 2016",suborder
gi-G-B8V7V,gi-G-7NF5D,"Scleractinia Bourne, 1900",order
gi-G-7NF5D,gi-G-7S,Hexacorallia,subclass
gi-G-7S,gi-G-CN2,Anthozoa,class
gi-G-CN2,gi-G-N,Cnidaria,phylum
gi-G-59PMC,gi-G-647VS,"Turdus mupinensis Laubmann, 1920",species
gi-G-647VS,gi-G-HLW,"Turdus Linnaeus, 1758",genus
gi-G-HLW,gi-G-3RL,Turdidae,family
gi-G-7DTTG,gi-G-8579,"Urochroa bougueri (Bourcier, 1851)",species
gi-G-8579,gi-G-KGD,"Urochroa Gould, 1856",genus
gi-G-7W4B5,gi-G-8P3D3,"Ochotona (Conothoa) erythrotis (Büchner, 1890)",species
gi-G-8P3D3,gi-G-66FR,"Conothoa Lyon, 1904",subgenus
gi-G-66FR,gi-G-626HM,"Ochotona Link, 1795",genus
gi-G-626HM,gi-G-BMGW2,"Ochotonidae Thomas, 1897",family
gi-G-BMGW2,gi-G-LG,"Lagomorpha Brandt, 1855",order
gi-G-34PW4,gi-G-42YV,"Dendrocopos darjellensis (Blyth, 1845)",species
gi-G-42YV,gi-G-K5T,"Dendrocopos Koch, 1816",genus
gi-G-K5T,gi-G-625L8,Picinae,subfamily
gi-G-625L8,gi-G-3TR,Picidae,family
gi-G-3TR,gi-G-V2,Piciformes,order
gi-G-6H5X5,gi-G-4F9C,Eucnide rupestris (Baill.) H. J. Thomps. & W. R. Ernst,species
gi-G-4F9C,gi-G-JJZ,Eucnide Zucc.,genus
gi-G-JJZ,gi-G-C5K,Eucnidoideae ined.,subfamily
gi-G-C5K,gi-G-ZT,Loasaceae Juss.,family
gi-G-ZT,gi-G-MG,Cornales,order
gi-G-44RQ4,gi-G-5VZ8,"Myaka myaka Trewavas, 1972",species
gi-G-5VZ8,gi-G-88R,Myaka,genus
gi-G-88R,gi-G-PC,Cichlidae,family
gi-G-PC,gi-G-BXVWY,Perciformes,order
gi-G-3ZF8N,gi-G-5NPY,"Melidectes torquatus P. L. Sclater, 1874",species
gi-G-5NPY,gi-G-CKJ,"Melidectes P. L. Sclater, 1874",genus
gi-G-CKJ,gi-G-3RL,Meliphagidae,family
gi-G-6686K,gi-G-RL2,Alchemilla amphisericea Buser,species
gi-G-RL2,gi-G-628NC,Alchemilla L.,genus
gi-G-628NC,gi-G-FTK,Rosoideae Arn.,subfamily
gi-G-FTK,gi-G-BMGVT,Rosaceae Juss.,family
gi-G-BMGVT,gi-G-MG,Rosales Bercht. & J. Presl,order
gi-G-3S5XS,gi-G-7P6X2,"Lampsilis dolabraeformis (I. Lea, 1838)",species
gi-G-7P6X2,gi-G-7NMHQ,"Lampsilis Rafinesque, 1820",genus
gi-G-7NMHQ,gi-G-7NLMC,"Lampsilini Ihering, 1901",tribe
gi-G-7NLMC,gi-G-7NLH4,"Ambleminae Rafinesque, 1820",subfamily
gi-G-7NLH4,gi-G-7NFRS,"Unionidae Rafinesque, 1820",family
gi-G-7NFRS,gi-G-B6L8S,"Unionoidea Rafinesque, 1820",superfamily
gi-G-B6L8S,gi-G-7NF5J,"Unionida Gray, 1854",order
gi-G-7NF5J,gi-G-7NVXR,"Palaeoheterodonta Newell, 1965",subterclass
gi-G-7NVXR,gi-G-7NVXG,"Heteroconchia J. E. Gray, 1854",infraclass
gi-G-7NVXG,gi-G-BMGWC,"Autobranchia Grobben, 1894",subclass
gi-G-BMGWC,gi-G-M2L,"Bivalvia Linnaeus, 1758",class
gi-G-M2L,gi-G-N,Mollusca,phylum
gi-G-75HNX,gi-G-6BZH,"Pachyramphus marginatus (Lichtenstein, 1823)",species
gi-G-6BZH,gi-G-KFM,"Pachyramphus G. R. Gray, 1840",genus
gi-G-KFM,gi-G-8MB,Tityrinae,subfamily
gi-G-8MB,gi-G-3RL,Cotingidae,family
gi-G-GFHW,gi-G-84LKC,"Arenicola cristata Stimpson, 1856",species
gi-G-84LKC,gi-G-84JW8,"Arenicola Lamarck, 1801",genus
gi-G-84JW8,gi-G-84JPF,"Arenicolidae Johnston, 1835",family
gi-G-84JPF,gi-G-84JPG,"Scolecida Rouse & Fauchald, 1997 non Linnaean",infraclass
gi-G-84JPG,gi-G-BMGVB,"Sedentaria Lamarck, 1818",subclass
gi-G-BMGVB,gi-G-NN,"Polychaeta Grube, 1850",class
gi-G-NN,gi-G-N,Annelida,phylum
gi-G-5FSYS,gi-G-H6FQ,Asclepias incarnata subsp. incarnata,subspecies
gi-G-H6FQ,gi-G-33PC,Asclepias incarnata L.,species
gi-G-33PC,gi-G-93LSR,Asclepias L.,genus
gi-G-93LSR,gi-G-6L2,Asclepiadoideae Burnett,subfamily
