name,parent_name,desc,rank
gi-H-6247C,gi-H-BMGVQ,Gentianaceae Juss.,family
gi-H-BMGVQ,gi-H-MG,Gentianales Juss. ex Bercht. & J. Presl,order
gi-H-7JFM8,gi-H-Q834,Calystegia subacaulis subsp. subacaulis,subspecies
gi-H-Q834,gi-H-3G98,Calystegia subacaulis Hook. & Arn.,species
gi-H-3G98,gi-H-JD7,Calystegia R. Br.,genus
gi-H-JD7,gi-H-8J9,Convolvuloideae Burnett,subfamily
gi-H-8J9,gi-H-B7VXK,Convolvulaceae Juss.,family
gi-H-B7VXK,gi-H-MG,Solanales Juss. ex Bercht. & J. Presl,order
gi-H-7BLTM,gi-H-7SV5,"Tarsius sangirensis Meyer, 1897",species
gi-H-7SV5,gi-H-GXL,"Tarsius Storr, 1780",genus
gi-H-GXL,gi-H-4QB,"Tarsiidae Gray, 1825",family
gi-H-4QB,gi-H-4DT,"Tarsiiformes Gregory, 1915",infraorder
gi-H-4DT,gi-H-BMGW3,"Haplorrhini Pocock, 1918",suborder
gi-H-BMGW3,gi-H-LG,"Primates Linnaeus, 1758",order
gi-H-8924K,gi-H-4XVD,"Holcosus hartwegi (Smith, 1940)",species
gi-H-4XVD,gi-H-GYH,Holcosus,genus
gi-H-GYH,gi-H-8SF9P,Teiidae,family
gi-H-8SF9P,gi-H-BXVXG,Lacertoidea,superfamily
gi-H-BXVXG,gi-H-9CK8W,Squamata,order
gi-H-6KBB2,gi-H-4N2J,"Geositta crassirostris P. L. Sclater, 1866",species
gi-H-4N2J,gi-H-6245S,"Geositta Swainson, 1837",genus
gi-H-6245S,gi-H-3RL,Furnariidae,family
gi-H-4SCSC,gi-H-78YF,"Rhizomys sumatrensis (Raffles, 1821)",species
gi-H-78YF,gi-H-K9K,"Rhizomys Gray, 1831",genus
gi-H-K9K,gi-H-GF5,"Rhizomyinae Winge, 1887",subfamily
gi-H-GF5,gi-H-622LW,"Spalacidae Gray, 1821",family
gi-H-622LW,gi-H-622X6,"Muroidea Illiger, 1811",superfamily
gi-H-622X6,gi-H-B6L6L,"Myomorpha Brandt, 1855",suborder
gi-H-B6L6L,gi-H-LG,"Rodentia Bowdich, 1821",order
gi-H-43V7L,gi-H-63BY5,"Mokopirirakau nebulosus (Mccann, 1955)",species
gi-H-63BY5,gi-H-9BN,Mokopirirakau,genus
gi-H-9BN,gi-H-87BW6,Diplodactylidae,family
